;"Factor-1";"Factor-2";"Factor-3";"Factor-4";"Factor-5";"Factor-6";"Factor-7";"Factor-8";"Factor-9";"Factor-10";"Factor-11";"Factor-12"
"6019429";2.552107E-05;-1.843114E-05;1.371355E-05;1.160915E-05;1.072535E-05;-1.533818E-05;-8.448262E-06;-4.365146E-06;6.810996E-06;-3.256218E-06;4.725256E-07;-9.57847E-07
"6019590";-5.036457E-06;-7.489443E-05;-1.961302E-05;-1.820536E-05;1.847475E-05;-1.126243E-05;-8.099893E-06;2.525048E-06;-4.234133E-06;-6.533093E-06;-4.347595E-06;-6.497957E-07
"6019591";1.122978E-05;-5.60225E-05;-3.085786E-06;-1.158844E-05;2.334931E-05;5.353906E-06;3.705978E-06;6.136575E-06;6.680116E-07;-6.011272E-07;1.956702E-06;-4.316368E-06
"6019597";4.492397E-05;-1.77035E-05;8.932487E-05;-8.609193E-06;-3.107432E-05;3.561092E-05;-1.660132E-05;1.669571E-05;2.280794E-06;-4.913102E-06;7.523888E-06;-2.687674E-06
"6019598";2.157589E-05;-2.164461E-05;3.025136E-05;-2.297779E-06;1.055204E-06;1.006551E-05;-8.2269E-06;7.921498E-06;5.886233E-07;-3.650431E-06;3.961342E-06;-7.896886E-06
"6019599";2.646741E-05;-2.561569E-05;3.025981E-05;-7.779705E-06;-1.107303E-05;5.302242E-06;-9.086969E-06;1.096884E-05;3.305466E-06;-5.546931E-06;8.063413E-06;-2.812061E-06
"6019609";4.477387E-05;4.021919E-05;-1.828522E-05;4.843181E-06;1.797225E-06;-9.335302E-06;1.598511E-07;4.311963E-06;-1.462617E-06;-1.433438E-06;8.51896E-07;-1.044392E-06
"6019610";2.565037E-05;4.32607E-05;-1.11524E-05;8.959921E-06;2.269344E-05;-7.382461E-06;-9.7958E-06;3.884718E-06;3.974148E-06;-7.306981E-06;4.761723E-06;3.140766E-06
"6019611";2.945648E-05;3.024429E-05;9.32064E-06;-1.746382E-06;1.016845E-05;-5.209138E-07;-1.025037E-06;4.884774E-06;4.098158E-06;-1.841147E-06;1.391183E-06;1.8241E-07
"6019623";-1.493705E-05;-2.466605E-05;1.573747E-06;-2.000451E-05;2.513025E-05;-2.736469E-05;2.960212E-06;-5.718803E-06;4.694238E-06;-6.755162E-06;-3.773172E-06;3.188464E-06
"6019748";-3.086719E-05;-0.0001431916;5.686622E-06;-8.128676E-06;5.295175E-05;6.854932E-07;1.909428E-06;-4.763559E-06;-1.277025E-06;-2.648973E-06;6.750515E-07;-1.304609E-06
"6019749";-4.853255E-05;-0.000150161;5.963372E-06;-1.197397E-05;4.033128E-05;-8.718095E-06;2.367175E-06;-3.712571E-06;5.718191E-07;-2.422173E-06;2.521389E-06;1.987323E-06
"6019753";2.315105E-05;9.580724E-06;-1.135675E-06;1.55295E-05;2.412128E-05;-5.194017E-06;4.508933E-06;6.38914E-06;1.947193E-06;3.448884E-06;4.612868E-06;-1.555732E-06
"6019772";1.472836E-05;-4.945067E-05;-9.848343E-06;2.324991E-06;-4.362849E-06;-9.535408E-06;-1.084702E-05;2.234119E-06;4.051923E-06;-1.504931E-06;6.052791E-06;3.549975E-06
